testId,label,location,completed_time_stamp,completed_time,run_no,loadTime,fullyLoaded,bytesIn,bytesInDoc,requests,requestsDoc,TTFB,firstPaint,render,SpeedIndex,docTime,ttfb_first_req,ssl_first_req,dns_first_req
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,17,4601,5422,1021032,1019838,100,98,1465,3068,3100,3807,4601,1226,114,0
171108_R7_87,h1,WPTServer102:Chrome,1510185601,2017-11-08_19-00-01,19,4694,5107,1076323,1075129,100,98,1026,2913,2900,3656,4694,806,98,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,1,8108,8182,1086335,1085185,100,99,1381,6601,6600,7187,8108,1179,78,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,2,7146,7220,1096968,1095818,100,99,1284,5473,5500,6142,7146,1055,85,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,3,5498,5569,1056696,1055502,100,98,1796,3860,3900,4607,5498,1563,111,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,4,5866,5937,1103590,1102440,100,99,2051,3920,3900,4804,5866,1844,83,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,5,8519,8591,1069568,1068418,100,99,2250,6825,6900,7551,8519,2021,83,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,6,7633,7707,1055788,1054638,100,99,3183,6139,6200,6817,7633,2953,114,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,7,6420,6488,1033364,1032214,100,99,2027,4855,4800,5521,6420,1800,106,0
171108_R9_BZ,h1,WPTServer102:Chrome,1510210371,2017-11-09_01-52-51,8,6838,6908,1078754,1077604,100,99,1819,5377,5400,6054,6838,1595,83,0
